id,j,branch,wavenumber,intensity,pressure,temperature,model,npoints,rms,amplitude,amplitude_std,center,center_std,sigma,sigma_std,gamma,gamma_std,fwhm,fwhm_std,height,height_std
15,7,R37,5786.20246,0.72877,145.0,293.15,Gaussian,82,0.0330626452976748,0.0325155031059125,0.0003449462653161,5786.202425588382,0.0002257647215739,0.0189526805753923,0.0002432352080006,,,0.0446301512725454,0.0005727751321124,0.684431394447292,0.0070615537112258
16,7,R35,5790.4078,1.44962,145.0,293.15,Gaussian,100,0.0596178056771885,0.0798102339366943,0.000683231168778,5790.407155947658,0.0002221491209882,0.0231302127190944,0.0002394792996813,,,0.0544674875151779,0.000563930645505,1.376540660344149,0.0114680192677509
17,8,R37,5795.75723,0.4658,145.0,293.15,Gaussian,72,0.0235356939109391,0.0178409535258266,0.0002264650487209,5795.7565552335645,0.0002333556682545,0.0163259104765023,0.0002495260092071,,,0.0384445805082772,0.0005875888370315,0.4359641101812074,0.005408716697151
18,8,R35,5799.96728,1.08132,145.0,293.15,Gaussian,78,0.0463389220943304,0.0463049645898009,0.0004703267733875,5799.96699845298,0.0002055296323358,0.0180568152697708,0.0002217783607645,,,0.0425205497335618,0.0005222481208866,1.0230491257115335,0.0101146824113879
19,9,R37,5804.00407,0.25158,145.0,293.15,Gaussian,960,0.1027206190959236,0.288029964251996,0.0018901598090114,5803.852935429797,0.0005099597131553,0.0671798231779725,0.0005091598098725,,,0.1581963912159533,0.0011989797059232,1.7104441627242302,0.011226034318181
20,9,R35,5808.21789,0.64848,145.0,293.15,Gaussian,68,0.0314547683894229,0.0236813311346249,0.0002942302817944,5808.217221901235,0.0002157681117472,0.0154391797435631,0.0002309030170178,,,0.0363564892437373,0.000543735041492,0.6119162330400177,0.0074320573033264
21,10,R37,5810.93545,0.12675,145.0,293.15,Gaussian,89,0.0121625365539132,0.0052507267765813,0.0001267002465402,5810.934667202639,0.0005294208717698,0.0193221213826879,0.0005580824147883,,,0.0455001178743812,0.001314183637139,0.1084113372146472,0.0025636034242721
22,10,R35,5815.14739,0.32886,145.0,293.15,Gaussian,65,0.0177002774310786,0.01102917588317,0.0001577667324069,5815.146920368175,0.0002304511051252,0.0142409645022176,0.0002432632947498,,,0.0335349080291122,0.0005728412707112,0.3089681736971674,0.0043454398414394
23,1,P37,5643.08047,0.80209,145.0,293.15,Gaussian,148,0.0408018499026028,0.0623906297906509,0.0005609267033525,5643.079345273388,0.0003412483330469,0.0336858281775009,0.0003654303413509,,,0.0793240619089428,0.0008605226772161,0.7388941490758777,0.0064786957995749
24,1,P35,5647.10408,1.52196,145.0,293.15,Gaussian,184,0.0685587471627523,0.1526310100576222,0.0010535481426719,5647.103249869566,0.0003286030309758,0.0424472650830844,0.0003540076874166,,,0.099955668762949,0.0008336243817317,1.4345085857598958,0.0096463447237436
25,2,P37,5621.03773,1.07925,145.0,293.15,Gaussian,162,0.0518807294884077,0.0940024775369369,0.0007493162974776,5621.037435425257,0.0003335283334595,0.0372582210423169,0.0003587623346754,,,0.0877364040748687,0.0008448207250427,1.0065312713586263,0.0078135997617352
26,2,P35,5625.02744,1.7248,145.0,293.15,Gaussian,225,0.0707841694713084,0.2148329124800616,0.0012047122302642,5625.026981340575,0.000326819048848,0.0519287510046819,0.0003520230134829,,,0.1222828614408452,0.0008289508314265,1.6504524865766006,0.0090086317698821
27,3,P37,5597.81135,1.1314,145.0,293.15,Gaussian,168,0.0546418772999528,0.1017732149376627,0.0008004173639035,5597.810652048234,0.0003400946854029,0.0384947414374909,0.0003653614843724,,,0.0906481870318325,0.0008603605334069,1.0547321252061346,0.0080849688852252
28,3,P35,5601.7634,1.7503,145.0,293.15,Gaussian,237,0.0710287967336285,0.2310100917332503,0.0012417174618641,5601.763358346142,0.0003303788385201,0.0547858486204786,0.0003561319898766,,,0.1290108120484755,0.0008386267345526,1.6821807024966866,0.0087981476904077
